Apellidos	Bodega	Código	Nombre del artículo	Línea	No. de parte	Unidad	Cantidad disponible	Precio	Proveedor	Detalles del artículo
0528952	05	28952	"BRIDA PVC C-150 4"""	VAPOR		CU	0	7750	TUBOCOBRE	
0528953	05	28953	"BRIDA PVC C-150 8"""	VAPOR		CU	0	20835	TUBOCOBRE	
0528954	05	28954	"BRIDA PVC C-150 10"""	VAPOR		CU	0	40342	TUBOCOBRE	
0528955	05	28955	"BRIDA ROSC A/CARB C-150 2"""	VAPOR		CU	0	3860	TUBOCOBRE	
0528956	05	28956	"BRIDA INOX S/C C-150 SOLD 3"""	VAPOR		CU	4	25485	TECNOVAL	
0528957	05	28957	"BRIDA INOX S/C C-150 SOLD 6"""	VAPOR		CU	0	45255	TECNOVAL	
0528960	05	28960	"BRIDA PVC C-150 2"""	VAPOR		CU	0	2570	TECNOVAL	"Niple hierro negro cedula 40 2""x8"
0528963	05	28963	"EMP NEOPRENO P/BRIDA 1-1/2"""	VAPOR		CU	0	754	TUBOCOBRE	"codo hierro negro cedula 40 1""x90"
0528964	05	28964	"EMP NEOPRENO P/BRIDA 3"""	VAPOR		CU	0	1093	TUBOCOBRE	"Reducción campana  hierro negro roscada cedula 40 2""x1"
0528965	05	28965	"EMP NEOPRENO P/BRIDA 4"""	VAPOR		CU	0	1280	TUBOCOBRE	Unión tope hierro negro cedula 40 con rosca 2
0528966	05	28966	"EMP NEOPRENO P/BRIDA 6"""	VAPOR		CU	2	2030	TUBOCOBRE	
